# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35748
#@/user_id	snylonue-home-win10
bei ren 	被人	c=2 d=1 t=23041
bei ru 	被褥	c=3 d=2.97516 t=29957
bei ru 	被辱	c=1 d=1 t=29956
bei sha 	被杀	c=0 d=0.1 t=15504
bei shang 	悲伤	c=3 d=1.9802 t=26869
bei shao 	被烧	c=1 d=1 t=30128
bei shu 	背书	c=2 d=1.0802 t=20365
bei tun 	被吞	c=1 d=1 t=29280
bei wo 	被我	c=1 d=1 t=33815
bei xia le yi tiao 	被吓了一跳	c=1 d=1 t=6132
bei xiao 	被消	c=1 d=1 t=10064
bei zeng 	倍增	c=1 d=1 t=26595
bei zhu jian xiao jie 	被逐渐消解	c=1 d=1 t=2518
bei zi 	杯子	c=2 d=1 t=32409
ben 	本	c=13 d=0.1 t=30099
ben di 	本地	c=13 d=3.44566 t=34939
ben huan 	苯环	c=0 d=0.1 t=17850
ben huan shang 	苯环上	c=1 d=1 t=17851
ben lai 	本来	c=14 d=1.0003 t=34336
ben lai xiang 	本来想	c=1 d=1 t=15497
ben lai yi wei 	本来以为	c=1 d=1 t=32706
ben neng 	本能	c=1 d=1 t=17557
ben pian 	本篇	c=2 d=1.91393 t=283
ben ren 	本人	c=1 d=1 t=15202
ben shen 	本身	c=9 d=2.05205 t=33897
ben shu 	本书	c=2 d=1 t=33883
ben ti lun 	本体论	c=1 d=1 t=19479
ben wen 	本文	c=3 d=1 t=29294
ben xin 	本心	c=2 d=1.60957 t=23838
ben xing 	本性	c=1 d=1 t=7994
ben yue 	奔月	c=0 d=0.1 t=14127
ben yue zhe 	奔月者	c=1 d=1 t=14128
ben zhi 	本质	c=4 d=1.00014 t=33446
ben zi 	本子	c=12 d=1 t=35744
beng kui 	崩溃	c=1 d=1 t=8095
bi 	壁	c=1 d=1.00484 t=5142
bi 	彼	c=1 d=1 t=26429
bi 	必	c=2 d=1.08086 t=31037
bi 	比	c=61 d=2.46122 t=35748
bi de 	闭的	c=1 d=1 t=10956
bi fang 	比方	c=1 d=1 t=29251
bi ge 	逼格	c=1 d=1 t=3266
bi guan fang yuan 	比官方源	c=1 d=1 t=24064
bi hui 	必会	c=0 d=0.1 t=17679
bi hui xiao shi 	必会消失	c=1 d=1 t=17680
bi ji 	笔记	c=9 d=1 t=33804
bi ji ben 	笔记本	c=2 d=1 t=26765
bi jia 	比价	c=2 d=1.99501 t=26772
bi jiao 	比较	c=38 d=2.91148 t=34299
bi jiao dan yi 	比较单一	c=1 d=1 t=5787
bi jiao duo 	比较多	c=3 d=1 t=27478
bi jiao gao 	比较高	c=2 d=1 t=27483
bi jiao guan kan 	比较观看	c=1 d=1 t=15224
bi jing 	毕竟	c=19 d=1.00002 t=35577
bi kai 	避开	c=1 d=1 t=18188
bi kui 	比亏	c=1 d=1 t=31036
bi lan 	比烂	c=1 d=1 t=31696
bi lan 	碧蓝	c=1 d=1 t=20846
bi lan hang xian 	比懒航线	c=1 d=1 t=20845
bi lan huan xiang 	碧蓝幻想	c=1 d=1 t=9682
bi li 	比例	c=3 d=1 t=31396
bi mian 	避免	c=2 d=1 t=8834
bi mo 	笔墨	c=1 d=1.07531 t=8459
bi qi 	比起	c=2 d=0.50409 t=35748
bi qi lai 	比起来	c=1 d=1 t=26782
bi qian 	比前	c=0 d=0.1 t=32379
bi qian ji ji 	比前几集	c=1 d=1 t=32380
bi ran 	必然	c=3 d=1 t=27983
bi ru 	比如	c=44 d=1.00219 t=35748
bi ru ma 	比如吗	c=1 d=1 t=10290
bi ru shuo 	比如说	c=3 d=1 t=26952
bi shang 	闭上	c=1 d=1 t=4367
bi shou 	匕首	c=1 d=1 t=6852
bi shun 	笔顺	c=2 d=1.67706 t=1205
bi te 	比特	c=1 d=1 t=8323
bi te hui xing 	比特彗星	c=2 d=1.78663 t=26229
bi tian 	必填	c=1 d=1 t=29690
bi wo 	比我	c=1 d=1 t=26609
bi xian zai 	比现在	c=2 d=1 t=34653
bi xiu 	必修	c=2 d=0.1 t=29769
bi xiu yi 	必修一	c=1 d=1 t=29770
bi xu 	必须	c=4 d=1 t=28933
bi yao 	必要	c=0 d=0.1 t=17294
bi yao bu chong fen 	必要不充分	c=2 d=1.00004 t=11660
bi yao tiao jian 	必要条件	c=2 d=1 t=33030
bi yao zhi e 	必要之恶	c=1 d=1 t=17295
bi yu 	比喻	c=3 d=1.10487 t=23843
bi yu qi 	比预期	c=1 d=1 t=30193
bi yun yao 	避孕药	c=1 d=1 t=24217
bi zhi 	壁纸	c=2 d=1 t=20009
bi zhi de 	笔直地	c=1 d=1 t=4837
bi zi 	鼻子	c=3 d=1.9699 t=11260
bian 	便	c=0 d=0.0941765 t=35748
bian 	变	c=11 d=0.951229 t=35748
bian 	编	c=1 d=1 t=34355
bian 	边	c=5 d=2.04173 t=13430
bian 	遍	c=0 d=0.1 t=9086
bian cheng 	变成	c=10 d=1 t=28620
bian cheng 	编程	c=1 d=1 t=15866
bian chi 	边吃	c=1 d=1 t=1276
bian chui 	边吹	c=1 d=1 t=10877
bian da 	鞭打	c=1 d=1 t=3528
bian de 	变得	c=1 d=1 t=34848
bian de 	编的	c=0 d=0.1 t=23115
bian di 	变低	c=1 d=1 t=32274
bian du 	边度	c=1 d=1.1 t=12582
bian du bian xie 	边度边写	c=1 d=1 t=12583
bian fei 	边飞	c=0 d=0.1 t=18331
